Date,AMZN,DPZ,BTC,NFLX
2022-01-28 05:00:00+00:00,143.97799682617188,419.0844421386719,,384.3599853515625
2022-01-29 00:00:00+00:00,,,38138.1796875,
2022-01-30 00:00:00+00:00,,,37917.6015625,
2022-01-31 00:00:00+00:00,,,38483.125,
2022-01-31 05:00:00+00:00,149.57350158691406,432.0462646484375,,427.1400146484375
2022-02-01 00:00:00+00:00,,,38743.2734375,
2022-02-01 05:00:00+00:00,151.19349670410156,435.51483154296875,,457.1300048828125
2022-02-02 00:00:00+00:00,,,36952.984375,
2022-02-02 05:00:00+00:00,150.6125030517578,429.4710388183594,,429.4800109863281
2022-02-03 00:00:00+00:00,,,37154.6015625,
2022-02-03 05:00:00+00:00,138.8455047607422,421.72625732421875,,405.6000061035156
2022-02-04 00:00:00+00:00,,,41500.875,
2022-02-04 05:00:00+00:00,157.63949584960938,416.2906494140625,,410.1700134277344
2022-02-05 00:00:00+00:00,,,41441.1640625,
2022-02-06 00:00:00+00:00,,,42412.43359375,
2022-02-07 00:00:00+00:00,,,43840.28515625,
2022-02-07 05:00:00+00:00,157.9355010986328,412.7650146484375,,402.1000061035156
2022-02-08 00:00:00+00:00,,,44118.4453125,
2022-02-08 05:00:00+00:00,161.4134979248047,416.91778564453125,,403.5299987792969
2022-02-09 00:00:00+00:00,,,44338.796875,
2022-02-09 05:00:00+00:00,161.1894989013672,422.6479797363281,,412.8900146484375
2022-02-10 00:00:00+00:00,,,43565.11328125,
2022-02-10 05:00:00+00:00,159.0034942626953,416.77520751953125,,406.2699890136719
2022-02-11 00:00:00+00:00,,,42407.9375,
2022-02-11 05:00:00+00:00,153.2935028076172,410.06622314453125,,391.30999755859375
2022-02-12 00:00:00+00:00,,,42244.46875,
2022-02-13 00:00:00+00:00,,,42197.515625,
2022-02-14 00:00:00+00:00,,,42586.91796875,
2022-02-14 05:00:00+00:00,155.16700744628906,409.2965087890625,,396.57000732421875
2022-02-15 00:00:00+00:00,,,44575.203125,
2022-02-15 05:00:00+00:00,156.510498046875,410.52239990234375,,407.4599914550781
2022-02-16 00:00:00+00:00,,,43961.859375,
2022-02-16 05:00:00+00:00,158.10049438476562,411.7958068847656,,398.0799865722656
2022-02-17 00:00:00+00:00,,,40538.01171875,
2022-02-17 05:00:00+00:00,154.65249633789062,409.1254577636719,,386.6700134277344
2022-02-18 00:00:00+00:00,,,40030.9765625,
2022-02-18 05:00:00+00:00,152.60150146484375,413.96234130859375,,391.2900085449219
2022-02-19 00:00:00+00:00,,,40122.15625,
2022-02-20 00:00:00+00:00,,,38431.37890625,
2022-02-21 00:00:00+00:00,,,37075.28125,
2022-02-22 00:00:00+00:00,,,38286.02734375,
2022-02-22 05:00:00+00:00,150.19749450683594,401.1240539550781,,377.3800048828125
2022-02-23 00:00:00+00:00,,,37296.5703125,
2022-02-23 05:00:00+00:00,144.82699584960938,382.0993957519531,,367.4599914550781
2022-02-24 00:00:00+00:00,,,38332.609375,
2022-02-24 05:00:00+00:00,151.35800170898438,396.6577453613281,,390.0299987792969
2022-02-25 00:00:00+00:00,,,39214.21875,
2022-02-25 05:00:00+00:00,153.7884979248047,408.6028137207031,,390.79998779296875
2022-02-26 00:00:00+00:00,,,39105.1484375,
2022-02-27 00:00:00+00:00,,,37709.78515625,
2022-02-28 00:00:00+00:00,,,43193.234375,
2022-02-28 05:00:00+00:00,153.56300354003906,410.7219543457031,,394.5199890136719
2022-03-01 00:00:00+00:00,,,44354.63671875,
2022-03-01 05:00:00+00:00,151.14199829101562,410.7219543457031,,386.239990234375
2022-03-02 00:00:00+00:00,,,43924.1171875,
2022-03-02 05:00:00+00:00,152.05250549316406,402.20745849609375,,380.0299987792969
2022-03-03 00:00:00+00:00,,,42451.7890625,
2022-03-03 05:00:00+00:00,147.89849853515625,382.6506042480469,,368.07000732421875
2022-03-04 00:00:00+00:00,,,39137.60546875,
2022-03-04 05:00:00+00:00,145.64100646972656,393.1416931152344,,361.7300109863281
